Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
S1-Hvariegata-F1_S1_L001_R1_001	S1-Hvariegata-F1_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9485629.0	0.0	149.0	28.0	77.56785814009967	149.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
S1-Hvariegata-F1_S1_L001_R2_001	S1-Hvariegata-F1_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9485629.0	0.0	149.0	28.0	78.02883287468217	149.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	warn	pass
S1-Hvariegata-F1_S1_L002_R1_001	S1-Hvariegata-F1_S1_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9776332.0	0.0	149.0	28.0	77.28479479394261	149.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
S1-Hvariegata-F1_S1_L002_R2_001	S1-Hvariegata-F1_S1_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9776332.0	0.0	149.0	28.0	77.47553513299479	149.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	warn	pass
S1-Hvariegata-F1_S1_L003_R1_001	S1-Hvariegata-F1_S1_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10375462.0	0.0	149.0	28.0	77.30532447181353	149.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
S1-Hvariegata-F1_S1_L003_R2_001	S1-Hvariegata-F1_S1_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10375462.0	0.0	149.0	28.0	77.76617380154487	149.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	warn	pass
S1-Hvariegata-F1_S1_L004_R1_001	S1-Hvariegata-F1_S1_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9975014.0	0.0	149.0	28.0	77.49219209474667	149.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
S1-Hvariegata-F1_S1_L004_R2_001	S1-Hvariegata-F1_S1_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9975014.0	0.0	149.0	28.0	78.03066273863838	149.0	pass	warn	warn	pass	fail	pass	pass	pass	pass	warn	pass
S2-Hlongipenis-F1_S2_L001_R1_001	S2-Hlongipenis-F1_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9392007.0	0.0	149.0	28.0	72.84018546197906	149.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
S2-Hlongipenis-F1_S2_L001_R2_001	S2-Hlongipenis-F1_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9392007.0	0.0	149.0	28.0	72.80970711411918	149.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	pass
S2-Hlongipenis-F1_S2_L002_R1_001	S2-Hlongipenis-F1_S2_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9821691.0	0.0	149.0	28.0	72.5970743753169	149.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
