Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
S1-Hvariegata-F1_S1_L001_R1_001	22.432141859900327	28.0	149.0	9.090909090909092	9485629.0
S1-Hvariegata-F1_S1_L001_R2_001	21.971167125317834	28.0	149.0	18.181818181818183	9485629.0
S1-Hvariegata-F1_S1_L002_R1_001	22.71520520605739	28.0	149.0	9.090909090909092	9776332.0
S1-Hvariegata-F1_S1_L002_R2_001	22.524464867005207	28.0	149.0	9.090909090909092	9776332.0
S1-Hvariegata-F1_S1_L003_R1_001	22.694675528186465	28.0	149.0	9.090909090909092	10375462.0
S1-Hvariegata-F1_S1_L003_R2_001	22.233826198455134	28.0	149.0	18.181818181818183	10375462.0
S1-Hvariegata-F1_S1_L004_R1_001	22.50780790525333	28.0	149.0	9.090909090909092	9975014.0
S1-Hvariegata-F1_S1_L004_R2_001	21.969337261361616	28.0	149.0	9.090909090909092	9975014.0
S2-Hlongipenis-F1_S2_L001_R1_001	27.15981453802094	28.0	149.0	9.090909090909092	9392007.0
S2-Hlongipenis-F1_S2_L001_R2_001	27.190292885880822	28.0	149.0	18.181818181818183	9392007.0
S2-Hlongipenis-F1_S2_L002_R1_001	27.402925624683107	28.0	149.0	9.090909090909092	9821691.0
S2-Hlongipenis-F1_S2_L002_R2_001	27.2683408605657	28.0	149.0	9.090909090909092	9821691.0
S2-Hlongipenis-F1_S2_L003_R1_001	26.837262796845494	28.0	149.0	9.090909090909092	10542236.0
S2-Hlongipenis-F1_S2_L003_R2_001	26.597734052337458	29.0	149.0	18.181818181818183	10542236.0
S2-Hlongipenis-F1_S2_L004_R1_001	26.866019379680978	28.0	149.0	9.090909090909092	10165005.0
S2-Hlongipenis-F1_S2_L004_R2_001	26.664463188263753	29.0	149.0	9.090909090909092	10165005.0
S3-Hcamelina-F2_S3_L001_R1_001	25.24300191828766	29.0	149.0	9.090909090909092	7404982.0
S3-Hcamelina-F2_S3_L001_R2_001	24.918700839761627	29.0	149.0	18.181818181818183	7404982.0
S3-Hcamelina-F2_S3_L002_R1_001	24.680681515601748	29.0	149.0	9.090909090909092	7737867.0
S3-Hcamelina-F2_S3_L002_R2_001	24.268265774798763	29.0	149.0	9.090909090909092	7737867.0
S3-Hcamelina-F2_S3_L003_R1_001	24.681673426640188	29.0	149.0	9.090909090909092	8442808.0
S3-Hcamelina-F2_S3_L003_R2_001	24.19282968861333	30.0	149.0	18.181818181818183	8442808.0
S3-Hcamelina-F2_S3_L004_R1_001	24.578354446435497	29.0	149.0	9.090909090909092	8078905.0
S3-Hcamelina-F2_S3_L004_R2_001	24.17470028415542	30.0	149.0	9.090909090909092	8078905.0
S4-Hcamelina-M2_S4_L001_R1_001	18.79834830095507	32.0	149.0	9.090909090909092	8099985.0
S4-Hcamelina-M2_S4_L001_R2_001	18.383107703588593	31.0	149.0	18.181818181818183	8099985.0
S4-Hcamelina-M2_S4_L002_R1_001	19.426424227033664	32.0	149.0	9.090909090909092	8426128.0
S4-Hcamelina-M2_S4_L002_R2_001	19.04344359046752	32.0	149.0	9.090909090909092	8426128.0
S4-Hcamelina-M2_S4_L003_R1_001	19.493984181412515	32.0	149.0	9.090909090909092	9294456.0
S4-Hcamelina-M2_S4_L003_R2_001	18.975758722424274	32.0	149.0	18.181818181818183	9294456.0
S4-Hcamelina-M2_S4_L004_R1_001	19.15177604894309	32.0	149.0	9.090909090909092	8877374.0
S4-Hcamelina-M2_S4_L004_R2_001	18.883230722052403	32.0	149.0	9.090909090909092	8877374.0
Undetermined_S0_L001_R1_001	5.311901350857013	29.0	149.0	9.090909090909092	673980.0
Undetermined_S0_L001_R2_001	10.318241574797867	30.0	149.0	36.36363636363637	673980.0
Undetermined_S0_L002_R1_001	6.47215235233827	29.0	149.0	9.090909090909092	908782.0
Undetermined_S0_L002_R2_001	12.833640012872763	30.0	149.0	36.36363636363637	908782.0
Undetermined_S0_L003_R1_001	5.070983728569573	29.0	149.0	9.090909090909092	843802.0
Undetermined_S0_L003_R2_001	7.35287079477483	30.0	149.0	36.36363636363637	843802.0
Undetermined_S0_L004_R1_001	5.847656518464547	29.0	149.0	9.090909090909092	990083.0
Undetermined_S0_L004_R2_001	10.616982111496483	30.0	149.0	36.36363636363637	990083.0
